Grafo,Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
grafo1,3,16,0.054674816,0.046875358,0.020060016,34,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,17,0.060923243,0.062484026,0.014743141,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,18,0.057795978,0.046885252,0.015707243,46,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,3,19,0.048031545,0.04686439,0.019424727,45,4,0.333333333,0.441860465,0.060550682,4,0.049679565
grafo1,4,0,0.04061532,0.031246781,0.014311907,33,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,1,0.043736839,0.031247139,0.019516825,44,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,2,0.045664358,0.039066076,0.017808413,49,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,3,0.04373672,0.031262755,0.018215347,49,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,5,0.048429561,0.046842337,0.020303313,49,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,6,0.050165558,0.046861768,0.015640868,48,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,7,0.042174482,0.031244278,0.018550981,49,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,8,0.051551437,0.046864986,0.022151871,42,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,9,0.045298433,0.039071798,0.017744213,44,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,10,0.045304704,0.039054513,0.017742653,49,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,11,0.048423123,0.046865582,0.016313339,49,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,12,0.032808018,0.023429394,0.023650215,18,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,13,0.039053631,0.031247616,0.015998769,33,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,14,0.051783371,0.046863914,0.01850635,42,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,15,0.05757587,0.046900034,0.018613039,46,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,16,0.054675126,0.046867728,0.016011811,34,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,17,0.059529209,0.059449077,0.016090008,42,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,18,0.054674411,0.04686451,0.02006804,46,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,4,19,0.048426056,0.046833873,0.020309871,45,5,0.2,0.5,0.130482456,3,0.059646852
grafo1,5,0,0.040615487,0.031243324,0.018738431,33,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,1,0.045595384,0.03905344,0.018148739,44,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,2,0.043740511,0.031261086,0.018209246,51,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,3,0.04831779,0.046862245,0.02117322,49,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,4,0.049988222,0.04685688,0.01950629,49,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,6,0.044003129,0.032579184,0.018045501,48,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,7,0.043739271,0.031252861,0.021861824,51,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,8,0.046864295,0.046854019,0.01710528,42,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,9,0.042178607,0.031260371,0.015692531,44,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,10,0.045302272,0.031269312,0.02146035,51,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,11,0.05326426,0.04686296,0.021149196,49,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,12,0.031242299,0.031238794,0.017115513,18,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,13,0.039053917,0.031241655,0.020070013,33,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,14,0.048426437,0.046843052,0.016308412,42,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,15,0.05806942,0.04686904,0.022789559,46,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,16,0.051151133,0.046863317,0.021393102,34,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,17,0.05467391,0.046864271,0.02006311,42,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,18,0.053113127,0.046867728,0.021187843,46,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,5,19,0.051843715,0.046871662,0.018500709,45,5,0.1,0.5,0.153630604,3,0.062038288
grafo1,6,0,0.040615797,0.031245947,0.018744708,33,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,1,0.047066522,0.039039612,0.02127232,44,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,2,0.043740296,0.031246185,0.021872014,48,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,3,0.050272155,0.046827912,0.022738867,48,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,4,0.051554036,0.046863317,0.018546996,48,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,5,0.043736196,0.031266332,0.018208309,48,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,7,0.043187952,0.032828212,0.018082101,48,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,8,0.048426843,0.046833992,0.020306583,42,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,9,0.035929251,0.031242371,0.018549987,44,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,10,0.04530158,0.039047956,0.017745124,48,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,11,0.051885629,0.046852946,0.018201264,48,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,12,0.031242037,0.023417354,0.020964279,18,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,13,0.039423966,0.031266093,0.019927232,33,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,14,0.048425579,0.046857476,0.020308337,42,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,15,0.054676175,0.046864748,0.020061059,46,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,16,0.053111172,0.046862483,0.021192114,34,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,17,0.062791324,0.054660916,0.021653526,42,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,18,0.06011672,0.050644755,0.017836061,46,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,6,19,0.051550555,0.046834588,0.022149338,45,4,0.5,0.452380952,0.024975634,3,0.048591383
grafo1,7,0,0.042177558,0.031243682,0.015698119,33,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,1,0.04255302,0.032520175,0.015825151,44,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,2,0.049542952,0.046828151,0.022131785,56,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,3,0.047220349,0.039060831,0.021498779,49,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,4,0.042174315,0.031242847,0.018552299,49,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,5,0.045677233,0.039051652,0.017823528,51,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,6,0.042177153,0.031245828,0.018548817,48,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,8,0.042176104,0.031261086,0.018534564,42,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,9,0.039056802,0.031258583,0.020058522,44,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,10,0.053112769,0.046860814,0.021197304,59,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,11,0.057587576,0.048215389,0.022888734,49,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,12,0.031781387,0.023935437,0.016942432,18,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,13,0.040133262,0.030855775,0.019398782,33,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,14,0.041990209,0.0308882,0.019098503,42,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,15,0.04640286,0.040067434,0.017339855,46,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,16,0.042031956,0.035103559,0.017785312,34,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,17,0.04407053,0.037887931,0.019452429,42,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,18,0.048996854,0.04004395,0.020937632,46,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,7,19,0.045001841,0.039507151,0.020935437,45,5,0.3,0.5,0.084795322,3,0.059060466
grafo1,8,0,0.04573555,0.038185358,0.022027669,33,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,1,0.056025553,0.046865463,0.022200558,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,2,0.050018287,0.041150451,0.018894311,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,3,0.05436244,0.048753619,0.018804102,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,4,0.051994705,0.040315151,0.019391858,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,5,0.046009922,0.038025141,0.020197971,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
