Datos del Grafo 1: Fuentes y sumideros que maximizan el flujo,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
19,18,0.037487936,0.031244397,0.017393161,45,4,0.5,0.452380952,0.040692008,3,0.049278739
1,2,0.043740392,0.031253934,0.02186924,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,3,0.034367204,0.031239271,0.019513107,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,4,0.042431378,0.031248093,0.015895369,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,5,0.045302343,0.039053559,0.017748869,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,6,0.049987721,0.046880722,0.015317847,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,7,0.049989843,0.046848416,0.022957371,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,9,0.048425794,0.046852231,0.020310106,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,10,0.053112602,0.046865106,0.017397681,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,11,0.043737745,0.031259656,0.018219364,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,15,0.0609236,0.046882391,0.021467349,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,18,0.054675078,0.046869159,0.020055897,44,4,0.5,0.452380952,0.034478558,3,0.049420697
1,19,0.048422623,0.046846032,0.020310199,44,4,0.5,0.452380952,0.034478558,3,0.049420697
2,1,0.043740177,0.031260729,0.021869929,44,5,0.2,0.487179487,0.132919103,3,0.060195216
2,9,0.043738699,0.031262875,0.018207258,44,5,0.2,0.487179487,0.132919103,3,0.060195216
3,1,0.035929322,0.031236649,0.022150579,44,4,0.333333333,0.441860465,0.060550682,4,0.049679565
3,9,0.046863484,0.046854973,0.017102601,44,4,0.333333333,0.441860465,0.060550682,4,0.049679565
4,1,0.042177486,0.031247854,0.018550799,44,5,0.2,0.5,0.130482456,3,0.059646852
4,9,0.043739581,0.031242728,0.018223414,44,5,0.2,0.5,0.130482456,3,0.059646852
5,1,0.046864009,0.046849608,0.017108369,44,5,0.1,0.5,0.153630604,3,0.062038288
5,9,0.041959715,0.031237841,0.018690652,44,5,0.1,0.5,0.153630604,3,0.062038288
6,1,0.048202085,0.046862006,0.016346054,44,4,0.5,0.452380952,0.024975634,3,0.048591383
6,9,0.032959628,0.024184823,0.023536735,44,4,0.5,0.452380952,0.024975634,3,0.048591383
7,1,0.042176914,0.031244516,0.018550267,44,5,0.3,0.5,0.084795322,3,0.059060466
7,9,0.037491274,0.031242967,0.017404738,44,5,0.3,0.5,0.084795322,3,0.059060466
9,1,0.050604677,0.046861768,0.024776143,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,2,0.045304322,0.031257749,0.021484161,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,3,0.046861696,0.046849012,0.017115571,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,4,0.046863866,0.046848297,0.017108223,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,5,0.042178321,0.031244874,0.01854833,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,6,0.034617019,0.03123951,0.019887791,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,7,0.039053273,0.031245351,0.020070224,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,10,0.040614867,0.031238437,0.018754894,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,11,0.048978615,0.046869636,0.017349988,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,15,0.054248357,0.046859741,0.024621126,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,18,0.051550341,0.046863914,0.022145269,44,4,0.5,0.463414634,0.030945419,3,0.048772921
9,19,0.057798958,0.046872377,0.018549217,44,4,0.5,0.463414634,0.030945419,3,0.048772921
10,1,0.064286065,0.061332345,0.019786906,44,5,0.2,0.513513514,0.162646199,3,0.06094301
10,9,0.04061389,0.031243324,0.018746258,44,5,0.2,0.513513514,0.162646199,3,0.06094301
11,1,0.043739319,0.031276107,0.018210684,44,4,0.333333333,0.452380952,0.046539961,4,0.048802937
11,9,0.048426509,0.046861649,0.016313673,44,4,0.333333333,0.452380952,0.046539961,4,0.048802937
15,1,0.064047623,0.054691195,0.023645691,44,4,0.333333333,0.431818182,0.078216374,4,0.051899849
15,9,0.053818417,0.046866179,0.020892897,44,4,0.333333333,0.431818182,0.078216374,4,0.051899849
