group1,group2,meandiff,lower,upper,reject
0.07142857142857142,0.07990314769975787,-0.0336,-0.1309,0.0637,False
0.07142857142857142,0.08047286711294688,-0.0292,-0.1264,0.0681,False
0.07142857142857142,0.08153658639095532,0.0157,-0.0816,0.1129,False
0.07142857142857142,0.08159963014331946,0.0176,-0.0797,0.1148,False
0.07142857142857142,0.0818728197368974,0.0186,-0.0787,0.1158,False
0.07142857142857142,0.08214600933047535,0.0183,-0.079,0.1156,False
0.07142857142857142,0.08225108225108226,0.0139,-0.0834,0.1111,False
0.07142857142857142,0.08227209683520363,0.0072,-0.09,0.1045,False
0.07142857142857142,0.08233514058756777,0.011,-0.0863,0.1083,False
0.07142857142857142,0.08250325726053881,0.0129,-0.0843,0.1102,False
0.07142857142857142,0.08269238851763124,0.0045,-0.0927,0.1018,False
0.07142857142857142,0.0829445635270878,0.0151,-0.0822,0.1123,False
0.07142857142857142,0.08556442020726515,0.2716,0.1743,0.3689,True
0.07142857142857142,0.08574143719157896,0.3631,0.2658,0.4603,True
0.07142857142857142,0.08579112616963196,0.3597,0.2624,0.457,True
0.07142857142857142,0.0858594620594191,1.1527,1.0554,1.25,True
0.07142857142857142,0.08586910026858476,1.5044,1.4071,1.6017,True
0.07142857142857142,0.08590076867012908,1.3685,1.2713,1.4658,True
0.07142857142857142,0.08590292637025121,0.2465,0.1493,0.3438,True
0.07142857142857142,0.08593151914699095,1.3109,1.2136,1.4081,True
0.07142857142857142,0.0859365677327444,1.1367,1.0394,1.2339,True
0.07142857142857142,0.08593932150679172,1.3658,1.2685,1.463,True
0.07142857142857142,0.08599118425134981,1.4811,1.3838,1.5783,True
0.07142857142857142,0.08599898661115059,1.171,1.0737,1.2682,True
0.07142857142857142,0.08602881916333001,1.4714,1.3742,1.5687,True
0.07142857142857142,0.08607425643511099,1.3188,1.2215,1.4161,True
0.07142857142857142,0.08608926003794996,0.2751,0.1778,0.3724,True
0.07142857142857142,0.08610789340471983,0.2858,0.1886,0.3831,True
0.07142857142857142,0.08614205457713127,0.3591,0.2619,0.4564,True
0.07142857142857142,0.0861482656993879,0.2956,0.1983,0.3928,True
0.07142857142857142,0.08617932131067102,0.3045,0.2072,0.4017,True
0.07142857142857142,0.08622590472759571,0.3681,0.2708,0.4653,True
0.07474844274077623,0.07481296758104738,-0.8934,-0.9234,-0.8634,True
0.07474844274077623,0.07676969092721835,-1.1324,-1.2297,-1.0352,True
0.07474844274077623,0.07705455063381285,-1.1334,-1.2038,-1.063,True
0.07474844274077623,0.07819398946019085,-1.1336,-1.204,-1.0632,True
0.07474844274077623,0.0783364193134881,-1.1321,-1.2293,-1.0348,True
0.07474844274077623,0.0786212790200826,-1.1354,-1.2327,-1.0381,True
0.07474844274077623,0.07904856857997436,-1.1336,-1.2309,-1.0364,True
0.07474844274077623,0.07990314769975787,-1.1357,-1.2329,-1.0384,True
0.07474844274077623,0.08047286711294688,-1.1313,-1.2285,-1.034,True
0.07474844274077623,0.08153658639095532,-1.0864,-1.1837,-0.9892,True
0.07474844274077623,0.08159963014331946,-1.0845,-1.1818,-0.9872,True
0.07474844274077623,0.0818728197368974,-1.0835,-1.1808,-0.9862,True
0.07474844274077623,0.08214600933047535,-1.0838,-1.181,-0.9865,True
0.07474844274077623,0.08225108225108226,-1.0882,-1.1855,-0.991,True
0.07474844274077623,0.08227209683520363,-1.0948,-1.1921,-0.9976,True
0.07474844274077623,0.08233514058756777,-1.0911,-1.1884,-0.9938,True
0.07474844274077623,0.08250325726053881,-1.0892,-1.1864,-0.9919,True
0.07474844274077623,0.08269238851763124,-1.0976,-1.1948,-1.0003,True
0.07474844274077623,0.0829445635270878,-1.087,-1.1843,-0.9898,True
0.07474844274077623,0.08556442020726515,-0.8305,-0.9277,-0.7332,True
0.07474844274077623,0.08574143719157896,-0.739,-0.8363,-0.6418,True
0.07474844274077623,0.08579112616963196,-0.7424,-0.8396,-0.6451,True
0.07474844274077623,0.0858594620594191,0.0506,-0.0466,0.1479,False
0.07474844274077623,0.08586910026858476,0.4023,0.305,0.4996,True
0.07474844274077623,0.08590076867012908,0.2664,0.1692,0.3637,True
0.07474844274077623,0.08590292637025121,-0.8555,-0.9528,-0.7583,True
0.07474844274077623,0.08593151914699095,0.2088,0.1115,0.306,True
0.07474844274077623,0.0859365677327444,0.0346,-0.0627,0.1318,False
0.07474844274077623,0.08593932150679172,0.2637,0.1664,0.361,True
0.07474844274077623,0.08599118425134981,0.379,0.2817,0.4763,True
0.07474844274077623,0.08599898661115059,0.0689,-0.0284,0.1662,False
0.07474844274077623,0.08602881916333001,0.3694,0.2721,0.4666,True
0.07474844274077623,0.08607425643511099,0.2167,0.1195,0.314,True
0.07474844274077623,0.08608926003794996,-0.827,-0.9242,-0.7297,True
0.07474844274077623,0.08610789340471983,-0.8163,-0.9135,-0.719,True
0.07474844274077623,0.08614205457713127,-0.743,-0.8402,-0.6457,True
0.07474844274077623,0.0861482656993879,-0.8065,-0.9038,-0.7092,True
0.07474844274077623,0.08617932131067102,-0.7976,-0.8949,-0.7003,True
0.07474844274077623,0.08622590472759571,-0.734,-0.8313,-0.6367,True
0.07481296758104738,0.07676969092721835,-0.2391,-0.3363,-0.1418,True
0.07481296758104738,0.07705455063381285,-0.2401,-0.3105,-0.1697,True
0.07481296758104738,0.07819398946019085,-0.2402,-0.3106,-0.1698,True
0.07481296758104738,0.0783364193134881,-0.2387,-0.3359,-0.1414,True
0.07481296758104738,0.0786212790200826,-0.242,-0.3393,-0.1448,True
0.07481296758104738,0.07904856857997436,-0.2403,-0.3375,-0.143,True
0.07481296758104738,0.07990314769975787,-0.2423,-0.3396,-0.1451,True
0.07481296758104738,0.08047286711294688,-0.2379,-0.3352,-0.1406,True
0.07481296758104738,0.08153658639095532,-0.1931,-0.2903,-0.0958,True
0.07481296758104738,0.08159963014331946,-0.1911,-0.2884,-0.0939,True
0.07481296758104738,0.0818728197368974,-0.1901,-0.2874,-0.0929,True
0.07481296758104738,0.08214600933047535,-0.1904,-0.2877,-0.0931,True
0.07481296758104738,0.08225108225108226,-0.1949,-0.2921,-0.0976,True
0.07481296758104738,0.08227209683520363,-0.2015,-0.2987,-0.1042,True
0.07481296758104738,0.08233514058756777,-0.1977,-0.295,-0.1005,True
0.07481296758104738,0.08250325726053881,-0.1958,-0.293,-0.0985,True
0.07481296758104738,0.08269238851763124,-0.2042,-0.3014,-0.1069,True
