Datos del Grafo 4: Fuentes y sumideros que maximizan el flujo,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
15,12,0.062488961,0.046881557,0.024208014,60,6,0.4,0.575757576,0.036358257,3,0.049898575
15,13,0.056474566,0.046863914,0.018658477,60,6,0.4,0.575757576,0.036358257,3,0.049898575
15,19,0.058459234,0.046865463,0.018263109,60,6,0.4,0.575757576,0.036358257,3,0.049898575
19,15,0.059645033,0.052474976,0.018555953,60,7,0.333333333,0.59375,0.037873619,3,0.056657309
1,5,0.045302129,0.031242728,0.021476046,57,7,0.333333333,0.612903226,0.051051239,2,0.05674686
1,6,0.045301557,0.039053082,0.017739711,57,7,0.333333333,0.612903226,0.051051239,2,0.05674686
3,5,0.053112531,0.046863675,0.017397947,57,6,0.333333333,0.575757576,0.040768588,3,0.050727961
3,6,0.061121559,0.054674506,0.018115446,57,6,0.333333333,0.575757576,0.040768588,3,0.050727961
5,1,0.046864057,0.039053679,0.0209657,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,3,0.051509261,0.046860337,0.022194841,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,6,0.068733931,0.062484622,0.028118597,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,7,0.049988484,0.046862245,0.020724063,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,8,0.0437433,0.031278253,0.018215065,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,9,0.045588017,0.039055705,0.018286655,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,10,0.048422766,0.03905201,0.023639562,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,11,0.048422813,0.039054155,0.023641351,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,12,0.048426056,0.046863556,0.020320647,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,13,0.053112578,0.046847224,0.021187843,57,5,0.5,0.542857143,0.009896268,3,0.041870142
