Datos del Grafo 3: Fuentes y sumideros que maximizan el flujo   ,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
4,16,0.04218154,0.031246305,0.018560217,42,5,0.2,0.513513514,0.122368421,3,0.060229132
5,16,0.049142575,0.046830058,0.019819721,42,4,0.166666667,0.475,0.077948343,4,0.049557354
6,16,0.04061482,0.031244278,0.018743297,42,4,0.333333333,0.475,0.044736842,3,0.049164816
7,16,0.043741941,0.031260371,0.01822086,42,5,0.2,0.5,0.090046296,3,0.060348434
9,16,0.040616012,0.031242967,0.018746686,42,5,0.1,0.463414634,0.082602339,4,0.06025394
11,16,0.064186811,0.054692626,0.034410466,42,4,0,0.475,0.047770468,3,0.049650073
12,16,0.045286584,0.031809926,0.021393276,42,4,0,0.475,0.058065302,3,0.050058964
15,16,0.048565388,0.042326212,0.018865321,42,5,0.1,0.558823529,0.146353151,3,0.060469142
16,0,0.050642228,0.046828032,0.022499854,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,1,0.043739748,0.031245589,0.024994166,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,2,0.040615487,0.031242728,0.018749277,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,4,0.042493391,0.031258464,0.018391933,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,5,0.043739843,0.031259656,0.01822259,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,6,0.040618277,0.031243086,0.018756108,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,7,0.046861124,0.039039135,0.020966288,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,9,0.044646406,0.035773158,0.017797038,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,11,0.046198654,0.034766674,0.021435579,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,12,0.045301986,0.031258464,0.021474254,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
16,15,0.043742537,0.031270504,0.018208489,42,4,0.166666667,0.487179487,0.085501949,3,0.050300023
0,8,0.043740416,0.031258464,0.021865603,41,4,0.333333333,0.475,0.065919428,3,0.049563871
0,10,0.048424578,0.046861172,0.016298742,41,4,0.333333333,0.475,0.065919428,3,0.049563871
0,18,0.045302439,0.039082527,0.017738151,41,4,0.333333333,0.475,0.065919428,3,0.049563871
1,8,0.046863437,0.03904748,0.020967905,41,5,0.4,0.463414634,0.073180637,4,0.060998588
1,10,0.048425961,0.046847343,0.020304771,41,5,0.4,0.463414634,0.073180637,4,0.060998588
1,18,0.042177653,0.031243682,0.018552061,41,5,0.4,0.463414634,0.073180637,4,0.060998588
2,8,0.034366441,0.03124702,0.015308732,41,4,0,0.487179487,0.068908382,3,0.049478994
2,10,0.039053226,0.031241298,0.016009462,41,4,0,0.487179487,0.068908382,3,0.049478994
2,18,0.056233549,0.046872497,0.020005858,41,4,0,0.487179487,0.068908382,3,0.049478994
4,8,0.045302081,0.031252146,0.021481662,41,5,0.2,0.513513514,0.122368421,3,0.060229132
4,10,0.048422456,0.04684782,0.016306917,41,5,0.2,0.513513514,0.122368421,3,0.060229132
4,18,0.039053416,0.031242728,0.020066918,41,5,0.2,0.513513514,0.122368421,3,0.060229132
5,8,0.037489843,0.031245947,0.012489286,41,4,0.166666667,0.475,0.077948343,4,0.049557354
5,10,0.045600677,0.032743812,0.021289801,41,4,0.166666667,0.475,0.077948343,4,0.049557354
5,18,0.053317022,0.046863675,0.021133301,41,4,0.166666667,0.475,0.077948343,4,0.049557354
6,8,0.052689075,0.044745922,0.026456557,41,4,0.333333333,0.475,0.044736842,3,0.049164816
6,10,0.039283276,0.031248212,0.019986882,41,4,0.333333333,0.475,0.044736842,3,0.049164816
6,18,0.048425579,0.046867013,0.01630819,41,4,0.333333333,0.475,0.044736842,3,0.049164816
7,8,0.039052939,0.03124249,0.020066974,41,5,0.2,0.5,0.090046296,3,0.060348434
7,10,0.039049721,0.031244636,0.020053641,41,5,0.2,0.5,0.090046296,3,0.060348434
7,18,0.03905375,0.031248093,0.020064547,41,5,0.2,0.5,0.090046296,3,0.060348434
8,0,0.046864057,0.046869278,0.017114358,41,3,0,0.413043478,0.01754386,4,0.039218578
8,1,0.0468606,0.046859026,0.017106131,41,3,0,0.413043478,0.01754386,4,0.039218578
8,2,0.03455193,0.031242847,0.019779,41,3,0,0.413043478,0.01754386,4,0.039218578
8,4,0.064374471,0.056325436,0.030643354,41,3,0,0.413043478,0.01754386,4,0.039218578
8,5,0.048672342,0.046857953,0.017513793,41,3,0,0.413043478,0.01754386,4,0.039218578
8,6,0.039051557,0.031242371,0.020066213,41,3,0,0.413043478,0.01754386,4,0.039218578
8,7,0.039053607,0.03124547,0.020059717,41,3,0,0.413043478,0.01754386,4,0.039218578
8,9,0.035930705,0.031242609,0.018551192,41,3,0,0.413043478,0.01754386,4,0.039218578
8,10,0.043738317,0.031251431,0.018221032,41,3,0,0.413043478,0.01754386,4,0.039218578
8,11,0.037490606,0.031243205,0.017404554,41,3,0,0.413043478,0.01754386,4,0.039218578
8,12,0.034558272,0.031244516,0.015276301,41,3,0,0.413043478,0.01754386,4,0.039218578
8,15,0.04061501,0.031246185,0.01875072,41,3,0,0.413043478,0.01754386,4,0.039218578
8,16,0.046861148,0.039053202,0.020946311,41,3,0,0.413043478,0.01754386,4,0.039218578
8,18,0.051288581,0.046862483,0.018628192,41,3,0,0.413043478,0.01754386,4,0.039218578
9,8,0.035928845,0.031241894,0.018554309,41,5,0.1,0.463414634,0.082602339,4,0.06025394
9,10,0.039053392,0.031243205,0.020058229,41,5,0.1,0.463414634,0.082602339,4,0.06025394
9,18,0.051550031,0.046863914,0.018542661,41,5,0.1,0.463414634,0.082602339,4,0.06025394
10,0,0.076818585,0.078107595,0.031334109,41,4,0.166666667,0.475,0.059039961,3,0.050027846
10,1,0.053204346,0.04688108,0.014128517,41,4,0.166666667,0.475,0.059039961,3,0.050027846
10,2,0.042177296,0.031243563,0.018550305,41,4,0.166666667,0.475,0.059039961,3,0.050027846
10,4,0.048428082,0.046844244,0.020307802,41,4,0.166666667,0.475,0.059039961,3,0.050027846
10,5,0.048691726,0.046862364,0.016807212,41,4,0.166666667,0.475,0.059039961,3,0.050027846
10,6,0.040613174,0.031244516,0.018746391,41,4,0.166666667,0.475,0.059039961,3,0.050027846
